job title,company name,location,time,Requirments
,,,,
Data Analyst,Hands of Hope Physical Therapy & Wellness -,"Maadi, Cairo, Egypt",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau
ERPNext Specialist/Data Analyst,Confidential -,"Alexandria, Egypt",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau
Data Analyst,Nugttah -,"Cairo, Egypt",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau
Data Analyst (On-Site),Union Coop -,"Dokki, Giza, Egypt",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau
Data Analyst,Natcom -,"Cairo, Egypt",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau
Fleet Data Analyst,Seoudi Supermarket -,"Giza, Egypt",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau
Senior Market Research & Data Analyst,Onecard -,"Nasr City, Cairo, Egypt",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau
Big Data Business Analyst (KSA),Ejada  -,"Riyadh, Saudi Arabia",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau
Data Analyst,ITCan -,"New Cairo, Cairo, Egypt",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau
Senior Business Strategy Analyst,Guardian towing -,"Cairo, Egypt",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau
Hr Planning Specialist (Data Analyst),Andalusia Group -,"Maadi, Cairo, Egypt",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau
